alternative_id,sub_code,raw_score
A70,S4,0.3316885422200956
A71,S4,0.4500162069972435
A72,S4,0.4600314959244022
A73,S4,0.3921973299623705
A74,S4,0.5901488528263665
A75,S4,0.1474293459638047
A76,S4,0.40819628357966
A77,S4,0.3552679537453186
A78,S4,0.3031498958804597
A79,S4,0.3496936193632356
A80,S4,0.1936713467369737
A81,S4,0.2955970455586102
A82,S4,0.4080002810347188
A83,S4,0.5420455725786865
A84,S4,0.2929162735584022
A85,S4,0.3777543139208518
A86,S4,0.3581380523226407
A87,S4,0.5005699042400568
A88,S4,0.3753125382880673
A89,S4,0.3712537781015665
A90,S4,0.3712774388637328
A91,S4,0.4255156516828783
A92,S4,0.4663989494954716
A93,S4,0.3432238450136177
A94,S4,0.2968746224326692
A95,S4,0.3040847722344516
A96,S4,0.2812400141783044
A97,S4,0.3594984430833353
A98,S4,0.4200729260075712
A99,S4,0.3162083290672557
A100,S4,0.3957625203664877
A101,S4,0.2029453085031823
A102,S4,0.3668192900832884
A103,S4,0.3766653726258214
A104,S4,0.2785539775560532
A105,S4,0.3899431957388679
A106,S4,0.4229601738224312
A107,S4,0.5114917321730114
A108,S4,0.3465795754944451
A109,S4,0.3106160766954462
A110,S4,0.3867807952041282
A111,S4,0.145707093203588
A112,S4,0.3793633234371246
A113,S4,0.3705041679113451
A114,S4,0.6147737623434828
A115,S4,0.3475496314813418
A116,S4,0.3878048263704044
A117,S4,0.4073183930377329
A118,S4,0.2942086561487445
A119,S4,0.4875241344924867
A120,S4,0.4615794162870727
A121,S4,0.3746459380072962
A122,S4,0.3349669443966561
A123,S4,0.5226958178492443
A124,S4,0.2137937699395061
A125,S4,0.4156123745638837
A126,S4,0.5595294446247948
A127,S4,0.2880425933909442
A128,S4,0.3447546892089512
A129,S4,0.4500822198497651
A130,S4,0.3836875477995165
A131,S4,0.1879944080860316
A132,S4,0.4110524394474785
A133,S4,0.3478684874261006
A134,S4,0.4344881476043694
A135,S4,0.3491624834577291
A136,S4,0.5980466600780079
A137,S4,0.3575736530185702
A138,S4,0.361465719442601
A139,S4,0.4926644275928662
A140,S4,0.2804273499089079
A141,S4,0.3974822714545699
A142,S4,0.471286350752606
A143,S4,0.3126250094443018
A144,S4,0.3559799541493235
A145,S4,0.4680867023273828
A146,S4,0.4654670067976108
A147,S4,0.2104273624201538
A148,S4,0.2829258626855348
A149,S4,0.3266418986674963
A150,S4,0.4303945733089842
A151,S4,0.4381768161635582
A1,S30,0.3380462152571066
A2,S30,0.3535736189874695
A3,S30,0.4858975704852543
A4,S30,0.3365861492550017
A5,S30,0.2199113675484023
A6,S30,0.5164868592506342
A7,S30,0.4242999394396202
A8,S30,0.3471727239143189
A9,S30,0.3164213280312276
A10,S30,0.3724307070988028
A11,S30,0.241564781557513
A12,S30,0.3129337683748784
A13,S30,0.5484728654239198
A14,S30,0.309885946535649
A15,S30,0.2390904812861997
A16,S30,0.4332866616018706
A17,S30,0.4211345611457181
A18,S30,0.2692041995510286
A19,S30,0.4215707935885551
A20,S30,0.3138334972141364
A21,S30,0.5726220348701074
A22,S30,0.4446746921373486
A23,S30,0.3269843892320469
A24,S30,0.5513618737696169
A25,S30,0.3003781065566756
A26,S30,0.4367522894021145
A27,S30,0.2606103732579017
A28,S30,0.4452989326513581
A29,S30,0.4913264275963108
A30,S30,0.3001927147586466
A31,S30,0.3033974481924407
A32,S30,0.3787364550625102
A33,S30,0.3713683153650201
A34,S30,0.5892104164269049
A35,S30,0.3398077172006326
A36,S30,0.3118252926692816
A37,S30,0.3614855052402746
A38,S30,0.2158167152523225
A39,S30,0.276460545046371
A40,S30,0.4160120751673901
A41,S30,0.2432431904942141
A42,S30,0.2893814825302291
A43,S30,0.4227076625022735
A44,S30,0.4127049398069921
A45,S30,0.4499830724801826
A46,S30,0.4045470077952487
A47,S30,0.2971216482718744
A48,S30,0.2667833845612457
A49,S30,0.4738994613525938
A50,S30,0.3426582345836116
A51,S30,0.3049906926428353
A52,S30,0.4520273116610564
A53,S30,0.3867596464000401
A54,S30,0.3539985472605443
A55,S30,0.5232053596314808
A56,S30,0.2255566451991994
A57,S30,0.4051366521374292
A58,S30,0.3412697052897199
A59,S30,0.3603336625622214
A60,S30,0.4668239627544676
A61,S30,0.3891788145346226
A62,S30,0.416091738954042
A63,S30,0.4787438846699869
A64,S30,0.2894045355102256
A65,S30,0.224662349451012
A66,S30,0.2146440291512935
A67,S30,0.1622019150386441
A68,S30,0.5061849396132441
A69,S30,0.221980674300493
A70,S30,0.2723894457275499
A71,S30,0.3055222455729922
A72,S30,0.3832863605210932
A73,S30,0.4445982518159013
A74,S30,0.3964957356323441
A75,S30,0.2817365931637547
A76,S30,0.2935603521438124
A77,S30,0.3716219531741522
A78,S30,0.2902306568619954
A79,S30,0.5101077799815333
A80,S30,0.3101779038005781
A81,S30,0.3948463987678238
A82,S30,0.418531856831691
A83,S30,0.45614435726328
A84,S30,0.4856923258102337
A85,S30,0.2561071174772647
A86,S30,0.3376913310893314
A87,S30,0.290290129802478
A88,S30,0.22496511372703
A89,S30,0.3949275888570735
A90,S30,0.4158282554353912
A91,S30,0.3922793748460364
A92,S30,0.3505126607015138
A93,S30,0.4870315891385738
A94,S30,0.3409231642138416
A95,S30,0.646089692424553
A96,S30,0.3823468857577436
A97,S30,0.2838609951874754
A98,S30,0.4492175254681027
A99,S30,0.4030103070602457
A100,S30,0.474232222972239
A101,S30,0.4235681119264078
A102,S30,0.2509244312748105
A103,S30,0.2339091954149092
A104,S30,0.3697741550912684
A105,S30,0.275655908590084
A106,S30,0.2373024871102424
A107,S30,0.3963823856953451
A108,S30,0.5662567265970152
A109,S30,0.4385625357041928
